"Status","Source","Bid Multiplier","Inventory","Opportunities","Target Rate","Bids","Bid Rate","Impressions","Clicks","Leads","Calls","CTR","Avg Bid","CPC","Spend","Win Rate","Bound","Bound CVR","Bound CPA","Bound Rev","Bound ROAS","Contacted","Contacted CVR","Contacted CPA","Contacted Rev","Contacted ROAS","Quote","Quote CVR","Quote CPA","Quote Rev","Quote ROAS","Profit","CM"
"Active","Email","90%","39,951","635","1.58%","112","17.63%","7","4","2","0","57.14%","$7.19","$6.76","$27.04","3.57%","0","0%","$0.00","$0.00","0.00","1","25%","$27.04","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Paid Search","100%","483","6","1.24%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Paid Search","100%","0","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Paid Search 2","85%","27,922","822","2.94%","167","20.31%","6","4","4","0","66.66%","$6.80","$10.21","$40.84","2.4%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Referral","65%","99,743","3,230","3.23%","729","22.56%","64","13","10","2","20.31%","$7.24","$7.78","$101.19","1.78%","0","0%","$0.00","$0.00","0.00","2","15.385%","$50.60","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Referral 2","100%","0","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Native/Display/Social","135%","403,843","16,569","4.1%","4,269","25.76%","0","0","0","0","0%","$13.02","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Native/Display/Social 2","120%","6,715","262","3.9%","83","31.67%","14","5","5","0","35.71%","$12.43","$11.89","$59.48","6.02%","0","0%","$0.00","$0.00","0.00","2","40%","$29.74","$0.00","0.00","1","20%","$59.48","$0.00","0.00","$0.00","0%"
"Active","Internal SEO","100%","9,536","67","0.7%","7","10.44%","1","1","0","0","100%","$10.44","$17.52","$17.52","14.29%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Internal SEO 2","145%","18,052","517","2.86%","75","14.5%","14","11","9","2","78.57%","$13.46","$15.04","$165.50","14.67%","0","0%","$0.00","$0.00","0.00","3","27.273%","$55.17","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Tier 1","100%","10","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Tier 2","100%","0","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Tier 3","100%","57","1","1.75%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Home Search","100%","3","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Paid Search 3","100%","15,995","495","3.09%","45","9.09%","3","0","0","0","0%","$7.42","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Paid Search 4","100%","1,390","38","2.73%","3","7.89%","0","0","0","0","0%","$13.68","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Email","170%","28,972","906","3.12%","95","10.48%","16","10","8","2","62.5%","$15.30","$15.31","$153.19","10.53%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Paid Search 6","100%","1,154","24","2.07%","3","12.5%","0","0","0","0","0%","$15.52","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Paid Search 7","100%","1,106","34","3.07%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Paid Search 5","100%","4,429","152","3.43%","6","3.94%","0","0","0","0","0%","$8.01","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Paid Search 2B","100%","460","20","4.34%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Paid Search 5B","100%","4,959","199","4.01%","9","4.52%","0","0","0","0","0%","$8.90","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Home SearchB","100%","5","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Paid Search 5C","140%","26,995","559","2.07%","109","19.49%","4","2","2","1","50%","$10.18","$12.61","$25.23","1.83%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Test","100%","0","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Email B","100%","6,654","168","2.52%","18","10.71%","0","0","0","0","0%","$9.34","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Paid Search 5B2","100%","17","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Benepath - Google Search","100%","6","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Benepath - Paid Search","100%","0","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Benepath - Social","100%","0","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Paid Search 5A","100%","982","24","2.44%","3","12.5%","0","0","0","0","0%","$8.68","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Paid Search 4B","100%","483","16","3.31%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Email C","110%","4,589","148","3.22%","18","12.16%","1","1","1","0","100%","$11.99","$15.42","$15.42","5.56%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Referral 3","100%","2,345","69","2.94%","20","28.98%","4","3","3","1","75%","$11.61","$11.85","$35.55","15%","0","0%","$0.00","$0.00","0.00","1","33.333%","$35.55","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Paid Search 5D","100%","9,968","269","2.69%","17","6.31%","0","0","0","0","0%","$8.71","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Paid Search 5D2","100%","4,410","100","2.26%","5","5%","0","0","0","0","0%","$8.01","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
