"County","Searches","Impressions","Clicks","Leads","Calls","CTR","Cost","Avg CPC","Avg Bid","Avg Pos","Win Rate","Bound","Bound CVR","Bound CPA","Bound Rev","Contacted","Contacted CVR","Contacted CPA","Contacted Rev","Quote","Quote CVR","Quote CPA","Quote Rev"
"FULTON","651","13 (2.00%)","8","7","1","61.53%","$100.52","$12.56","$10.94","4.52","1.22%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"COBB","367","9 (2.45%)","3","3","0","33.33%","$34.54","$11.51","$12.37","4.37","0.81%","0","0%","$0.00","$0.00","1","33.333%","$34.54","$0.00","0","0%","$0.00","$0.00"
"DEKALB","534","7 (1.31%)","3","2","1","42.85%","$39.75","$13.25","$12.13","4.51","0.56%","0","0%","$0.00","$0.00","2","66.667%","$19.88","$0.00","0","0%","$0.00","$0.00"
"GWINNETT","409","7 (1.71%)","3","1","0","42.85%","$30.74","$10.24","$11.79","4.61","0.73%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"NEWTON","120","6 (5.00%)","4","4","1","66.66%","$30.63","$7.65","$13.81","4.54","3.33%","0","0%","$0.00","$0.00","2","50%","$15.32","$0.00","1","25%","$30.63","$0.00"
"WARE","36","6 (16.67%)","3","3","0","50%","$25.23","$8.41","$10.21","5.00","8.33%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"CLAYTON","278","5 (1.80%)","0","0","0","0%","$0.00","$0.00","$11.85","4.91","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"SPALDING","67","5 (7.46%)","1","1","1","20%","$9.11","$9.11","$12.39","3.95","1.49%","0","0%","$0.00","$0.00","1","100%","$9.11","$0.00","0","0%","$0.00","$0.00"
"HENRY","248","5 (2.02%)","2","2","0","40%","$27.63","$13.81","$13.05","5.12","0.8%","0","0%","$0.00","$0.00","1","50%","$27.63","$0.00","0","0%","$0.00","$0.00"
"BIBB","139","4 (2.88%)","2","2","0","50%","$13.22","$6.61","$10.95","4.33","1.43%","0","0%","$0.00","$0.00","1","50%","$13.22","$0.00","0","0%","$0.00","$0.00"
"PAULDING","77","4 (5.19%)","2","1","0","50%","$22.33","$11.16","$12.53","4.38","2.59%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"MUSCOGEE","123","4 (3.25%)","0","0","0","0%","$0.00","$0.00","$11.28","4.35","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"CHATTOOGA","19","4 (21.05%)","2","1","0","50%","$37.25","$18.62","$11.12","4.26","10.52%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
