"Source Type","Searches","Impressions","Clicks","Leads","Calls","CTR","Cost","Avg CPC","Avg Bid","Avg Pos","Win Rate","Bound","Bound CVR","Bound CPA","Bound Rev","Contacted","Contacted CVR","Contacted CPA","Contacted Rev","Quote","Quote CVR","Quote CPA","Quote Rev"
"Premium Referral","729","64 (8.78%)","13","10","2","20.31%","$101.19","$7.78","$7.24","7.30","1.78%","0","0%","$0.00","$0.00","2","15.385%","$50.60","$0.00","0","0%","$0.00","$0.00"
"Premium Email","95","16 (16.84%)","10","8","2","62.5%","$153.19","$15.31","$15.30","7.37","10.52%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"Native/Display/Social 2","83","14 (16.87%)","5","5","0","35.71%","$59.48","$11.89","$12.43","6.73","6.02%","0","0%","$0.00","$0.00","2","40%","$29.74","$0.00","1","20%","$59.48","$0.00"
"Internal SEO 2","75","14 (18.67%)","11","9","2","78.57%","$165.50","$15.04","$13.46","6.97","14.66%","0","0%","$0.00","$0.00","3","27.273%","$55.17","$0.00","0","0%","$0.00","$0.00"
"Email","112","7 (6.25%)","4","2","0","57.14%","$27.04","$6.76","$7.19","5.53","3.57%","0","0%","$0.00","$0.00","1","25%","$27.04","$0.00","0","0%","$0.00","$0.00"
"Premium Paid Search 2","167","6 (3.59%)","4","4","0","66.66%","$40.84","$10.21","$6.80","6.68","2.39%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"Premium Referral 3","20","4 (20.00%)","3","3","1","75%","$35.55","$11.85","$11.61","8.20","15%","0","0%","$0.00","$0.00","1","33.333%","$35.55","$0.00","0","0%","$0.00","$0.00"
"Premium Paid Search 5C","109","4 (3.67%)","2","2","1","50%","$25.23","$12.61","$10.18","8.32","1.83%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"Premium Paid Search 3","45","3 (6.67%)","0","0","0","0%","$0.00","$0.00","$7.42","6.48","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"Internal SEO","7","1 (14.29%)","1","0","0","100%","$17.52","$17.52","$10.44","8.28","14.28%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"Premium Email C","18","1 (5.56%)","1","1","0","100%","$15.42","$15.42","$11.99","8.61","5.55%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"Native/Display/Social","4,269","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$13.02","3.60","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"Premium Paid Search 5D","17","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$8.71","11.11","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"Premium Paid Search 4","3","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$13.68","6.66","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"Premium Paid Search 5","6","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$8.01","8.83","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"Premium Email B","18","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.34","7.16","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"Premium Paid Search 5B","9","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$8.90","10.66","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"Premium Paid Search 6","3","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$15.52","10.00","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"Premium Paid Search 5A","3","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$8.68","6.00","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"Premium Paid Search 5D2","5","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$8.01","14.20","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"","5,793","134 (2.31%)","54","44","8","40.29%","$640.96","$11.86","$11.89","4.55","0.93%","0","0%","$0.00","$0.00","9","16.667%","$71.22","$0.00","1","1.852%","$640.96","$0.00"
