"Status","Source","Bid Multiplier","Inventory","Opportunities","Target Rate","Bids","Bid Rate","Impressions","Clicks","Leads","Calls","CTR","Avg Bid","CPC","Spend","Win Rate","Bound","Bound CVR","Bound CPA","Bound Rev","Bound ROAS","Contacted","Contacted CVR","Contacted CPA","Contacted Rev","Contacted ROAS","Quote","Quote CVR","Quote CPA","Quote Rev","Quote ROAS","Profit","CM"
"Active","Premium Email","170%","42,511","1,176","2.76%","183","15.56%","44","20","16","3","45.45%","$15.28","$14.96","$299.28","10.93%","0","0%","$0.00","$0.00","0.00","3","15%","$99.76","$0.00","0.00","1","5%","$299.28","$0.00","0.00","$0.00","0%"
"Active","Internal SEO 2","145%","33,370","891","2.67%","186","20.87%","42","17","15","3","40.47%","$13.84","$15.43","$262.36","9.14%","0","0%","$0.00","$0.00","0.00","3","17.647%","$87.45","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Paid Search 5C","140%","38,182","856","2.24%","204","23.83%","19","9","7","3","47.36%","$10.53","$15.65","$140.86","4.41%","0","0%","$0.00","$0.00","0.00","1","11.111%","$140.86","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Native/Display/Social","135%","737,983","30,179","4.08%","9,424","31.22%","0","0","0","0","0%","$13.39","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Native/Display/Social 2","120%","12,545","476","3.79%","184","38.65%","34","15","10","0","44.11%","$13.17","$16.87","$253.07","8.15%","0","0%","$0.00","$0.00","0.00","2","13.333%","$126.54","$0.00","0.00","1","6.667%","$253.07","$0.00","0.00","$0.00","0%"
"Active","Premium Email C","110%","14,216","394","2.77%","92","23.35%","22","3","3","0","13.63%","$12.18","$13.58","$40.75","3.26%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Paid Search","100%","1,298","42","3.23%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Paid Search","100%","0","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Referral 2","100%","0","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Internal SEO","100%","17,215","132","0.76%","24","18.18%","5","3","2","0","60%","$12.25","$18.31","$54.94","12.5%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
