"Consumer Age","Searches","Impressions","CTR","Clicks","Calls","Leads","Contacted","Quote","Bound","Contacted CVR","Quote CVR","Bound CVR","Contacted CPA","Quote CPA","Bound CPA","Cost","Avg CPC","Avg Bid","Avg Pos","Win Rate","Bound Rev","Contacted Rev","Quote Rev"
"72","456","34 (7.46%)","35.29%","12","1","10","2","1","0","16.667%","8.333%","0%","$60.39","$120.78","$0.00","$120.78","$10.06","$12.74","3.55","2.63%","$0.00","$0.00","$0.00"
"71","434","33 (7.60%)","33.33%","11","1","8","5","0","0","45.455%","0%","0%","$22.22","$0.00","$0.00","$111.10","$10.10","$12.62","3.46","2.53%","$0.00","$0.00","$0.00"
"75","373","32 (8.58%)","34.37%","11","2","9","1","0","0","9.091%","0%","0%","$113.03","$0.00","$0.00","$113.03","$10.27","$12.51","3.48","2.94%","$0.00","$0.00","$0.00"
"74","408","32 (7.84%)","43.75%","14","2","11","1","0","0","7.143%","0%","0%","$140.17","$0.00","$0.00","$140.17","$10.01","$12.95","3.69","3.43%","$0.00","$0.00","$0.00"
"73","410","31 (7.56%)","19.35%","6","0","3","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$62.12","$10.35","$12.64","3.65","1.46%","$0.00","$0.00","$0.00"
"65","466","29 (6.22%)","37.93%","11","0","10","1","1","0","9.091%","9.091%","0%","$122.50","$122.50","$0.00","$122.50","$11.13","$12.20","4.31","2.36%","$0.00","$0.00","$0.00"
"69","530","27 (5.09%)","25.92%","7","1","5","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$78.73","$11.24","$12.11","3.88","1.32%","$0.00","$0.00","$0.00"
"70","465","25 (5.38%)","36%","9","1","8","1","0","0","11.111%","0%","0%","$75.95","$0.00","$0.00","$75.95","$8.43","$12.88","3.73","1.93%","$0.00","$0.00","$0.00"
"68","426","22 (5.16%)","31.81%","7","2","5","1","0","0","14.286%","0%","0%","$73.82","$0.00","$0.00","$73.82","$10.54","$12.08","3.83","1.64%","$0.00","$0.00","$0.00"
"67","433","21 (4.85%)","28.57%","6","0","3","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$86.72","$14.45","$12.95","3.76","1.38%","$0.00","$0.00","$0.00"
"61","429","19 (4.43%)","31.57%","6","1","4","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$89.86","$14.97","$12.70","4.41","1.39%","$0.00","$0.00","$0.00"
"64","486","19 (3.91%)","52.63%","10","2","8","1","1","0","10%","10%","0%","$167.68","$167.68","$0.00","$167.68","$16.76","$12.33","4.32","2.05%","$0.00","$0.00","$0.00"
"66","400","19 (4.75%)","57.89%","11","1","10","1","0","0","9.091%","0%","0%","$146.75","$0.00","$0.00","$146.75","$13.34","$12.66","3.90","2.75%","$0.00","$0.00","$0.00"
"63","486","17 (3.50%)","17.64%","3","0","3","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$44.58","$14.86","$12.46","4.46","0.61%","$0.00","$0.00","$0.00"
"62","436","10 (2.29%)","20%","2","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$27.63","$13.81","$12.31","4.30","0.45%","$0.00","$0.00","$0.00"
"58","345","9 (2.61%)","22.22%","2","0","2","1","1","0","50%","50%","0%","$12.62","$12.62","$0.00","$12.62","$6.31","$12.30","4.86","0.57%","$0.00","$0.00","$0.00"
"59","378","6 (1.59%)","33.33%","2","0","2","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$33.64","$16.82","$11.90","4.45","0.52%","$0.00","$0.00","$0.00"
"56","353","6 (1.70%)","50%","3","1","1","1","1","0","33.333%","33.333%","0%","$33.73","$33.73","$0.00","$33.73","$11.24","$11.92","4.64","0.84%","$0.00","$0.00","$0.00"
"55","353","6 (1.70%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$12.44","4.54","0%","$0.00","$0.00","$0.00"
"60","347","5 (1.44%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$12.74","4.71","0%","$0.00","$0.00","$0.00"
"54","297","5 (1.68%)","60%","3","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$41.31","$13.77","$11.82","4.64","1.01%","$0.00","$0.00","$0.00"
"49","250","5 (2.00%)","20%","1","1","1","1","0","0","100%","0%","0%","$19.34","$0.00","$0.00","$19.34","$19.34","$11.88","4.93","0.4%","$0.00","$0.00","$0.00"
"57","340","4 (1.18%)","25%","1","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$20.73","$20.73","$12.24","4.89","0.29%","$0.00","$0.00","$0.00"
"47","215","3 (1.40%)","100%","3","0","3","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$47.66","$15.88","$11.58","4.75","1.39%","$0.00","$0.00","$0.00"
