"Consumer Age","Searches","Impressions","Clicks","Leads","Calls","CTR","Cost","Avg CPC","Avg Bid","Avg Pos","Win Rate","Bound","Bound CVR","Bound CPA","Bound Rev","Contacted","Contacted CVR","Contacted CPA","Contacted Rev","Quote","Quote CVR","Quote CPA","Quote Rev"
"73","181","12 (6.63%)","2","2","0","16.66%","$27.63","$13.81","$12.38","3.81","1.1%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"74","201","10 (4.98%)","6","5","1","60%","$58.12","$9.68","$12.78","3.78","2.98%","0","0%","$0.00","$0.00","1","16.667%","$58.12","$0.00","0","0%","$0.00","$0.00"
"75","159","10 (6.29%)","7","6","2","70%","$68.93","$9.84","$12.04","3.51","4.4%","0","0%","$0.00","$0.00","1","14.286%","$68.93","$0.00","0","0%","$0.00","$0.00"
"69","308","10 (3.25%)","3","2","1","30%","$38.42","$12.80","$11.88","3.97","0.97%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"65","223","10 (4.48%)","3","3","0","30%","$24.43","$8.14","$12.27","4.46","1.34%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"71","194","10 (5.15%)","5","4","0","50%","$52.87","$10.57","$12.37","3.46","2.57%","0","0%","$0.00","$0.00","3","60%","$17.62","$0.00","0","0%","$0.00","$0.00"
"72","212","9 (4.25%)","6","4","0","66.66%","$74.99","$12.49","$12.67","3.72","2.83%","0","0%","$0.00","$0.00","1","16.667%","$74.99","$0.00","0","0%","$0.00","$0.00"
"66","181","8 (4.42%)","5","4","1","62.5%","$64.68","$12.93","$12.56","4.02","2.76%","0","0%","$0.00","$0.00","1","20%","$64.68","$0.00","0","0%","$0.00","$0.00"
"63","224","7 (3.13%)","1","1","0","14.28%","$17.52","$17.52","$12.31","4.52","0.44%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"68","175","6 (3.43%)","2","1","0","33.33%","$25.23","$12.61","$12.08","3.96","1.14%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"70","215","6 (2.79%)","2","2","1","33.33%","$14.52","$7.26","$13.03","4.03","0.93%","0","0%","$0.00","$0.00","1","50%","$14.52","$0.00","0","0%","$0.00","$0.00"
"62","189","5 (2.65%)","2","1","0","40%","$27.63","$13.81","$12.42","4.66","1.05%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"67","178","5 (2.81%)","2","1","0","40%","$29.14","$14.57","$13.03","3.74","1.12%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"61","163","4 (2.45%)","1","1","1","25%","$14.52","$14.52","$12.50","4.47","0.61%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"58","152","3 (1.97%)","1","1","0","33.33%","$7.21","$7.21","$11.92","5.36","0.65%","0","0%","$0.00","$0.00","1","100%","$7.21","$0.00","1","100%","$7.21","$0.00"
"47","65","3 (4.62%)","3","3","0","100%","$47.66","$15.88","$11.42","4.20","4.61%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"64","211","3 (1.42%)","1","1","1","33.33%","$20.43","$20.43","$11.62","4.46","0.47%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"55","152","2 (1.32%)","0","0","0","0%","$0.00","$0.00","$12.45","4.96","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"46","81","2 (2.47%)","1","1","0","50%","$10.21","$10.21","$10.89","4.92","1.23%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"51","119","2 (1.68%)","0","0","0","0%","$0.00","$0.00","$12.19","5.53","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"50","102","1 (0.98%)","0","0","0","0%","$0.00","$0.00","$10.79","4.82","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"44","62","1 (1.61%)","0","0","0","0%","$0.00","$0.00","$12.02","5.16","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"49","103","1 (0.97%)","0","0","0","0%","$0.00","$0.00","$10.57","5.61","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"56","159","1 (0.63%)","0","0","0","0%","$0.00","$0.00","$11.56","4.45","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"57","141","1 (0.71%)","0","0","0","0%","$0.00","$0.00","$11.59","4.95","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"59","166","1 (0.60%)","1","1","0","100%","$16.82","$16.82","$12.09","4.58","0.6%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"40","61","1 (1.64%)","0","0","0","0%","$0.00","$0.00","$10.70","5.09","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"28","15","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$10.99","3.93","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"54","122","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$11.77","4.79","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"42","45","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$11.67","4.88","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"60","166","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$12.44","4.83","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"27","23","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$8.63","5.73","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
