"County","Searches","Impressions","CTR","Clicks","Calls","Leads","Contacted","Quote","Bound","Contacted CVR","Quote CVR","Bound CVR","Contacted CPA","Quote CPA","Bound CPA","Cost","Avg CPC","Avg Bid","Avg Pos","Win Rate","Bound Rev","Contacted Rev","Quote Rev"
"FULTON","1,528","53 (3.47%)","43.39%","23","2","18","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$240.88","$10.47","$11.23","4.25","1.5%","$0.00","$0.00","$0.00"
"DEKALB","1,217","36 (2.96%)","30.55%","11","1","5","2","0","0","18.182%","0%","0%","$85.01","$0.00","$0.00","$170.01","$15.45","$11.84","4.34","0.9%","$0.00","$0.00","$0.00"
"GWINNETT","920","27 (2.93%)","25.92%","7","1","5","1","1","0","14.286%","14.286%","0%","$67.81","$67.81","$0.00","$67.81","$9.68","$11.96","4.55","0.76%","$0.00","$0.00","$0.00"
"COBB","836","25 (2.99%)","28%","7","0","5","1","0","0","14.286%","0%","0%","$73.22","$0.00","$0.00","$73.22","$10.46","$12.19","4.39","0.83%","$0.00","$0.00","$0.00"
"HENRY","517","21 (4.06%)","23.8%","5","0","5","2","0","0","40%","0%","0%","$27.55","$0.00","$0.00","$55.09","$11.01","$13.63","4.61","0.96%","$0.00","$0.00","$0.00"
"CLAYTON","617","16 (2.59%)","18.75%","3","1","3","1","1","0","33.333%","33.333%","0%","$30.36","$30.36","$0.00","$30.36","$10.12","$12.01","4.54","0.48%","$0.00","$0.00","$0.00"
"NEWTON","281","15 (5.34%)","60%","9","2","9","2","1","0","22.222%","11.111%","0%","$39.36","$78.72","$0.00","$78.72","$8.74","$12.95","4.06","3.2%","$0.00","$0.00","$0.00"
"SPALDING","166","13 (7.83%)","7.69%","1","1","1","1","0","0","100%","0%","0%","$9.11","$0.00","$0.00","$9.11","$9.11","$12.05","4.22","0.6%","$0.00","$0.00","$0.00"
"CHEROKEE","319","12 (3.76%)","25%","3","0","3","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$54.35","$18.11","$12.18","3.76","0.94%","$0.00","$0.00","$0.00"
"BIBB","339","12 (3.54%)","41.66%","5","1","5","2","1","0","40%","20%","0%","$25.96","$51.91","$0.00","$51.91","$10.38","$11.33","4.23","1.47%","$0.00","$0.00","$0.00"
"CARROLL","229","11 (4.80%)","45.45%","5","0","4","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$48.65","$9.73","$12.71","4.23","2.18%","$0.00","$0.00","$0.00"
"PAULDING","202","10 (4.95%)","30%","3","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$30.14","$10.04","$13.33","4.81","1.48%","$0.00","$0.00","$0.00"
"HOUSTON","272","10 (3.68%)","10%","1","1","1","1","0","0","100%","0%","0%","$19.34","$0.00","$0.00","$19.34","$19.34","$12.07","4.54","0.36%","$0.00","$0.00","$0.00"
"WARE","81","10 (12.35%)","50%","5","0","5","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$66.33","$13.26","$12.57","4.56","6.17%","$0.00","$0.00","$0.00"
"WALTON","204","10 (4.90%)","40%","4","0","4","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$44.96","$11.24","$13.65","4.17","1.96%","$0.00","$0.00","$0.00"
"MUSCOGEE","252","10 (3.97%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$11.46","4.20","0%","$0.00","$0.00","$0.00"
"COWETA","191","9 (4.71%)","55.55%","5","0","4","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$69.86","$13.97","$13.23","4.34","2.61%","$0.00","$0.00","$0.00"
"CHATHAM","424","9 (2.12%)","44.44%","4","0","4","1","1","0","25%","25%","0%","$56.19","$56.19","$0.00","$56.19","$14.04","$11.92","4.30","0.94%","$0.00","$0.00","$0.00"
"RICHMOND","365","9 (2.47%)","33.33%","3","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$32.11","$10.70","$11.77","4.49","0.82%","$0.00","$0.00","$0.00"
"DOUGLAS","305","9 (2.95%)","55.55%","5","1","4","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$70.66","$14.13","$12.14","4.66","1.63%","$0.00","$0.00","$0.00"
"ROCKDALE","209","8 (3.83%)","12.5%","1","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$3.90","$3.90","$13.13","4.01","0.47%","$0.00","$0.00","$0.00"
"HALL","178","8 (4.49%)","12.5%","1","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$16.82","$16.82","$13.47","4.48","0.56%","$0.00","$0.00","$0.00"
"CHATTOOGA","35","6 (17.14%)","50%","3","0","2","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$50.35","$16.78","$12.16","4.20","8.57%","$0.00","$0.00","$0.00"
"LOWNDES","148","5 (3.38%)","80%","4","2","3","2","0","0","50%","0%","0%","$21.46","$0.00","$0.00","$42.92","$10.73","$11.08","4.85","2.7%","$0.00","$0.00","$0.00"
"WALKER","121","5 (4.13%)","80%","4","0","3","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$45.76","$11.44","$12.50","4.38","3.3%","$0.00","$0.00","$0.00"
"JACKSON","74","5 (6.76%)","20%","1","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$19.34","$19.34","$11.77","4.04","1.35%","$0.00","$0.00","$0.00"
"FLOYD","189","5 (2.65%)","20%","1","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$7.60","$7.60","$11.33","4.73","0.52%","$0.00","$0.00","$0.00"
"WHITFIELD","101","4 (3.96%)","50%","2","0","2","1","0","0","50%","0%","0%","$20.72","$0.00","$0.00","$20.72","$10.36","$11.54","4.25","1.98%","$0.00","$0.00","$0.00"
"PEACH","73","4 (5.48%)","25%","1","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$17.42","$17.42","$12.59","4.63","1.36%","$0.00","$0.00","$0.00"
"CLARKE","133","4 (3.01%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$10.93","4.42","0%","$0.00","$0.00","$0.00"
"TROUP","114","4 (3.51%)","25%","1","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$10.81","$10.81","$11.34","4.39","0.87%","$0.00","$0.00","$0.00"
"JEFF DAVIS","22","4 (18.18%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$12.88","3.18","0%","$0.00","$0.00","$0.00"
"UNION","36","3 (8.33%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$13.92","3.97","0%","$0.00","$0.00","$0.00"
"COLUMBIA","154","3 (1.95%)","66.66%","2","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$41.60","$20.80","$13.21","4.82","1.29%","$0.00","$0.00","$0.00"
"FAYETTE","117","3 (2.56%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$14.43","4.47","0%","$0.00","$0.00","$0.00"
"BULLOCH","88","3 (3.41%)","100%","3","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$42.65","$14.21","$11.86","4.14","3.4%","$0.00","$0.00","$0.00"
"BARROW","118","3 (2.54%)","100%","3","0","2","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$40.26","$13.42","$13.28","4.01","2.54%","$0.00","$0.00","$0.00"
"LIBERTY","84","3 (3.57%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$12.46","4.45","0%","$0.00","$0.00","$0.00"
"STEPHENS","35","2 (5.71%)","50%","1","1","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$8.41","$8.41","$13.34","4.17","2.85%","$0.00","$0.00","$0.00"
"FORSYTH","127","2 (1.57%)","50%","1","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$11.39","$11.39","$12.48","4.66","0.78%","$0.00","$0.00","$0.00"
"PUTNAM","40","2 (5.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$12.24","3.55","0%","$0.00","$0.00","$0.00"
"LAURENS","74","2 (2.70%)","50%","1","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$10.81","$10.81","$11.21","4.06","1.35%","$0.00","$0.00","$0.00"
"SUMTER","27","2 (7.41%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$10.77","4.55","0%","$0.00","$0.00","$0.00"
"DAWSON","59","2 (3.39%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$13.21","4.25","0%","$0.00","$0.00","$0.00"
"CAMDEN","46","2 (4.35%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$12.94","4.17","0%","$0.00","$0.00","$0.00"
"MCDUFFIE","39","2 (5.13%)","50%","1","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$8.98","$8.98","$12.81","3.97","2.56%","$0.00","$0.00","$0.00"
"BALDWIN","96","2 (2.08%)","50%","1","1","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$20.04","$20.04","$12.29","4.41","1.04%","$0.00","$0.00","$0.00"
