"Source Type","Searches","Impressions","CTR","Clicks","Calls","Leads","Contacted","Quote","Bound","Contacted CVR","Quote CVR","Bound CVR","Contacted CPA","Quote CPA","Bound CPA","Cost","Avg CPC","Avg Bid","Avg Pos","Win Rate","Bound Rev","Contacted Rev","Quote Rev"
"Premium Referral","1,642","175 (10.66%)","23.42%","41","2","27","3","0","0","7.317%","0%","0%","$120.57","$0.00","$0.00","$361.71","$8.82","$7.47","7.08","2.49%","$0.00","$0.00","$0.00"
"Premium Email","183","44 (24.04%)","45.45%","20","3","16","3","1","0","15%","5%","0%","$99.76","$299.28","$0.00","$299.28","$14.96","$15.28","6.65","10.92%","$0.00","$0.00","$0.00"
"Email","492","44 (8.94%)","40.9%","18","3","15","3","2","0","16.667%","11.111%","0%","$46.59","$69.89","$0.00","$139.78","$7.76","$7.32","5.28","3.65%","$0.00","$0.00","$0.00"
"Internal SEO 2","186","42 (22.58%)","40.47%","17","3","15","3","0","0","17.647%","0%","0%","$87.45","$0.00","$0.00","$262.36","$15.43","$13.84","6.53","9.13%","$0.00","$0.00","$0.00"
"Native/Display/Social 2","184","34 (18.48%)","44.11%","15","0","10","2","1","0","13.333%","6.667%","0%","$126.54","$253.07","$0.00","$253.07","$16.87","$13.17","6.71","8.15%","$0.00","$0.00","$0.00"
"Premium Paid Search 2","360","33 (9.17%)","42.42%","14","1","12","1","1","0","7.143%","7.143%","0%","$136.39","$136.39","$0.00","$136.39","$9.74","$7.17","6.30","3.88%","$0.00","$0.00","$0.00"
"Premium Email C","92","22 (23.91%)","13.63%","3","0","3","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$40.75","$13.58","$12.18","7.26","3.26%","$0.00","$0.00","$0.00"
"Premium Paid Search 5C","204","19 (9.31%)","47.36%","9","3","7","1","0","0","11.111%","0%","0%","$140.86","$0.00","$0.00","$140.86","$15.65","$10.53","7.44","4.41%","$0.00","$0.00","$0.00"
"Premium Paid Search 3","107","14 (13.08%)","14.28%","2","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$20.73","$10.36","$7.49","5.61","1.86%","$0.00","$0.00","$0.00"
"Premium Referral 3","44","7 (15.91%)","42.85%","3","1","3","1","0","0","33.333%","0%","0%","$35.55","$0.00","$0.00","$35.55","$11.85","$10.50","9.34","6.81%","$0.00","$0.00","$0.00"
"Internal SEO","24","5 (20.83%)","60%","3","0","2","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$54.94","$18.31","$12.25","7.91","12.5%","$0.00","$0.00","$0.00"
"Premium Email B","66","4 (6.06%)","25%","1","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$6.91","$6.91","$10.33","7.36","1.51%","$0.00","$0.00","$0.00"
"Premium Paid Search 6","10","1 (10.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$16.56","8.30","0%","$0.00","$0.00","$0.00"
"Native/Display/Social","9,424","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$13.39","3.41","0%","$0.00","$0.00","$0.00"
"Premium Paid Search 5D2","14","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$10.09","10.57","0%","$0.00","$0.00","$0.00"
"Premium Paid Search 4","3","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$13.68","6.66","0%","$0.00","$0.00","$0.00"
"Premium Paid Search 5","27","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.47","8.92","0%","$0.00","$0.00","$0.00"
"NA","6","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$17.52","15.16","0%","$0.00","$0.00","$0.00"
"Premium Paid Search 5B","16","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.17","10.00","0%","$0.00","$0.00","$0.00"
"Premium Paid Search 7","1","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$6.01","5.00","0%","$0.00","$0.00","$0.00"
"Benepath - Google Search","2","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$11.51","3.50","0%","$0.00","$0.00","$0.00"
"Premium Paid Search 5D","59","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.82","12.23","0%","$0.00","$0.00","$0.00"
"Premium Paid Search 5A","5","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$12.46","7.00","0%","$0.00","$0.00","$0.00"
"","13,151","444 (3.38%)","32.88%","146","16","112","17","5","0","11.644%","3.425%","0%","$103.08","$350.47","$0.00","$1,752.33","$12.00","$12.12","4.39","1.11%","$0.00","$0.00","$0.00"
