"Status","Source","Bid Multiplier","Inventory","Opportunities","Target Rate","Bids","Bid Rate","Impressions","Clicks","Leads","Calls","CTR","Avg Bid","CPC","Spend","Win Rate","Bound","Bound CVR","Bound CPA","Bound Rev","Bound ROAS","Contacted","Contacted CVR","Contacted CPA","Contacted Rev","Contacted ROAS","Quote","Quote CVR","Quote CPA","Quote Rev","Quote ROAS","Profit","CM"
"Active","Tier 1","150%","362,136","9,571","2.64%","5,944","62.1%","465","106","81","11","22.79%","$9.79","$9.77","$1,035.62","1.78%","2","1.869%","$522.70","$0.00","0.00","14","13.084%","$74.67","$0.00","0.00","6","5.607%","$174.23","$0.00","0.00","$0.00","0%"
"Active","Tier 3","100%","81,561","2,353","2.88%","1,221","51.89%","346","67","44","6","19.36%","$6.53","$6.51","$436.17","5.49%","0","0%","$0.00","$0.00","0.00","2","2.985%","$218.09","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Tier 2","115%","53,186","1,224","2.3%","711","58.08%","79","33","25","3","41.77%","$7.53","$7.49","$247.17","4.64%","0","0%","$0.00","$0.00","0.00","2","6.061%","$123.59","$0.00","0.00","1","3.03%","$247.17","$0.00","0.00","$0.00","0%"
"Active","Home SearchB","125%","21,511","507","2.35%","276","54.43%","31","14","11","0","45.16%","$8.14","$8.14","$113.96","5.07%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Email","100%","3","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Paid Search","100%","0","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Paid Search","100%","0","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Paid Search 2","100%","21","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Referral","100%","203","1","0.49%","1","100%","0","0","0","0","0%","$6.51","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Referral 2","100%","0","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Native/Display/Social","100%","17","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Native/Display/Social 2","100%","961","12","1.24%","10","83.33%","0","0","0","0","0%","$6.51","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Internal SEO","100%","6,359","24","0.37%","14","58.33%","0","0","0","0","0%","$6.51","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Internal SEO 2","100%","0","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Home Search","100%","21,497","195","0.9%","102","52.3%","0","0","0","0","0%","$6.57","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Paid Search 3","100%","0","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Paid Search 4","100%","3","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","NA","100%","0","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Email","100%","5","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Paid Search 6","100%","2","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Paid Search 7","100%","13","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Paid Search 5","100%","10","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Paid Search 5C","100%","7","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Email B","100%","2","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Benepath - Google Search","100%","16","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Benepath - Social","100%","0","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Paid Search 5A","100%","0","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Email C","100%","1","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Referral 3","100%","2","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Paid Search 5D","100%","14","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Test","100%","0","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Paid Search 5D2","100%","8","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
