"Consumer Age","Searches","Impressions","CTR","Clicks","Calls","Leads","Contacted","Quote","Bound","Contacted CVR","Quote CVR","Bound CVR","Contacted CPA","Quote CPA","Bound CPA","Cost","Avg CPC","Avg Bid","Avg Pos","Win Rate","Bound Rev","Contacted Rev","Quote Rev"
"74","286","46 (16.08%)","30.43%","14","3","12","3","1","0","21.429%","7.143%","0%","$40.05","$120.16","$0.00","$120.16","$8.58","$8.91","3.29","4.89%","$0.00","$0.00","$0.00"
"73","295","46 (15.59%)","21.73%","10","0","5","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$84.01","$8.40","$8.98","3.27","3.38%","$0.00","$0.00","$0.00"
"66","314","45 (14.33%)","11.11%","5","0","2","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$39.07","$7.81","$9.03","4.39","1.59%","$0.00","$0.00","$0.00"
"67","364","45 (12.36%)","15.55%","7","2","5","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$56.33","$8.04","$8.87","4.30","1.92%","$0.00","$0.00","$0.00"
"78","239","43 (17.99%)","23.25%","10","3","8","1","1","0","10%","10%","0%","$76.84","$76.84","$0.00","$76.84","$7.68","$8.89","3.23","4.18%","$0.00","$0.00","$0.00"
"76","296","41 (13.85%)","24.39%","10","0","9","2","1","1","20%","10%","10%","$42.99","$85.97","$85.97","$85.97","$8.59","$8.83","3.34","3.37%","$0.00","$0.00","$0.00"
"71","302","40 (13.25%)","30%","12","1","9","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$93.12","$7.76","$8.94","3.33","3.97%","$0.00","$0.00","$0.00"
"69","307","39 (12.70%)","25.64%","10","2","9","2","1","0","20%","10%","0%","$42.33","$84.66","$0.00","$84.66","$8.46","$8.91","3.78","3.25%","$0.00","$0.00","$0.00"
"72","295","38 (12.88%)","36.84%","14","0","10","3","0","0","21.429%","0%","0%","$37.34","$0.00","$0.00","$112.01","$8.00","$8.91","3.35","4.74%","$0.00","$0.00","$0.00"
"75","245","37 (15.10%)","32.43%","12","2","10","2","0","0","16.667%","0%","0%","$52.76","$0.00","$0.00","$105.51","$8.79","$8.92","3.31","4.89%","$0.00","$0.00","$0.00"
"68","311","36 (11.58%)","16.66%","6","0","4","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$53.08","$8.84","$8.95","4.36","1.92%","$0.00","$0.00","$0.00"
"77","271","36 (13.28%)","30.55%","11","0","10","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$94.11","$8.55","$8.93","3.51","4.05%","$0.00","$0.00","$0.00"
"70","302","36 (11.92%)","25%","9","1","6","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$73.26","$8.14","$8.91","4.18","2.98%","$0.00","$0.00","$0.00"
"80","202","33 (16.34%)","21.21%","7","1","5","1","1","0","14.286%","14.286%","0%","$56.33","$56.33","$0.00","$56.33","$8.04","$8.85","3.24","3.46%","$0.00","$0.00","$0.00"
"79","233","31 (13.30%)","22.58%","7","0","4","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$57.31","$8.18","$8.75","3.84","3%","$0.00","$0.00","$0.00"
"65","289","27 (9.34%)","25.92%","7","0","4","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$66.11","$9.44","$8.82","4.84","2.42%","$0.00","$0.00","$0.00"
"61","218","26 (11.93%)","26.92%","7","0","7","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$64.48","$9.21","$8.97","4.57","3.21%","$0.00","$0.00","$0.00"
"82","125","25 (20.00%)","20%","5","1","5","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$48.85","$9.77","$8.88","3.26","4%","$0.00","$0.00","$0.00"
"81","133","24 (18.05%)","25%","6","1","3","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$42.32","$7.05","$8.65","3.32","4.51%","$0.00","$0.00","$0.00"
"64","285","24 (8.42%)","29.16%","7","0","6","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$63.50","$9.07","$9.03","4.54","2.45%","$0.00","$0.00","$0.00"
"63","253","24 (9.49%)","29.16%","7","0","5","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$59.59","$8.51","$9.07","4.57","2.76%","$0.00","$0.00","$0.00"
"83","97","19 (19.59%)","21.05%","4","1","3","1","1","1","25%","25%","25%","$35.82","$35.82","$35.82","$35.82","$8.95","$9.07","2.72","4.12%","$0.00","$0.00","$0.00"
"62","215","18 (8.37%)","11.11%","2","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$13.02","$6.51","$9.02","5.02","0.93%","$0.00","$0.00","$0.00"
"57","126","17 (13.49%)","17.64%","3","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$27.68","$9.22","$9.07","4.57","2.38%","$0.00","$0.00","$0.00"
"84","64","13 (20.31%)","7.69%","1","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$6.51","$6.51","$9.12","2.96","1.56%","$0.00","$0.00","$0.00"
"86","44","12 (27.27%)","25%","3","1","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$22.79","$7.59","$8.85","3.02","6.81%","$0.00","$0.00","$0.00"
"59","173","12 (6.94%)","16.66%","2","1","1","1","1","0","50%","50%","0%","$17.26","$17.26","$0.00","$17.26","$8.63","$9.17","4.98","1.15%","$0.00","$0.00","$0.00"
"54","161","9 (5.59%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.12","4.94","0%","$0.00","$0.00","$0.00"
