"Consumer Age","Searches","Impressions","Clicks","Leads","Calls","CTR","Cost","Avg CPC","Avg Bid","Avg Pos","Win Rate","Bound","Bound CVR","Bound CPA","Bound Rev","Contacted","Contacted CVR","Contacted CPA","Contacted Rev","Quote","Quote CVR","Quote CPA","Quote Rev"
"66","204","27 (13.24%)","3","1","0","11.11%","$19.53","$6.51","$8.98","4.68","1.47%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"74","167","23 (13.77%)","5","5","1","21.73%","$36.79","$7.35","$8.94","3.47","2.99%","0","0%","$0.00","$0.00","1","20%","$36.79","$0.00","0","0%","$0.00","$0.00"
"73","147","21 (14.29%)","4","3","0","19.04%","$28.65","$7.16","$8.83","3.69","2.72%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"70","182","20 (10.99%)","5","3","0","25%","$37.44","$7.48","$8.85","4.42","2.74%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"76","151","20 (13.25%)","2","2","0","10%","$17.26","$8.63","$8.79","3.52","1.32%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"69","208","20 (9.62%)","4","3","1","20%","$32.56","$8.14","$8.83","4.17","1.92%","0","0%","$0.00","$0.00","1","25%","$32.56","$0.00","0","0%","$0.00","$0.00"
"71","180","20 (11.11%)","5","4","0","25%","$36.79","$7.35","$8.92","3.58","2.77%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"78","142","19 (13.38%)","5","5","3","26.31%","$39.07","$7.81","$8.87","3.59","3.52%","0","0%","$0.00","$0.00","1","20%","$39.07","$0.00","1","20%","$39.07","$0.00"
"67","207","17 (8.21%)","3","2","0","17.64%","$22.79","$7.59","$8.93","4.57","1.44%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"79","140","17 (12.14%)","3","2","0","17.64%","$23.77","$7.92","$8.72","4.18","2.14%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"81","89","16 (17.98%)","4","2","1","25%","$26.04","$6.51","$8.55","3.52","4.49%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"68","169","15 (8.88%)","3","1","0","20%","$26.05","$8.68","$8.99","4.80","1.77%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"65","184","15 (8.15%)","3","2","0","20%","$29.31","$9.77","$8.93","4.84","1.63%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"62","132","14 (10.61%)","2","0","0","14.28%","$13.02","$6.51","$8.87","5.43","1.51%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"72","166","13 (7.83%)","7","5","0","53.84%","$51.44","$7.34","$8.87","3.64","4.21%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"61","118","13 (11.02%)","2","2","0","15.38%","$19.54","$9.77","$8.79","4.91","1.69%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"82","76","13 (17.11%)","3","3","0","23.07%","$29.31","$9.77","$8.74","3.27","3.94%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"80","126","13 (10.32%)","3","2","1","23.07%","$22.79","$7.59","$8.77","3.61","2.38%","0","0%","$0.00","$0.00","1","33.333%","$22.79","$0.00","1","33.333%","$22.79","$0.00"
"77","127","11 (8.66%)","5","5","0","45.45%","$41.03","$8.20","$8.99","3.77","3.93%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"64","175","10 (5.71%)","2","2","0","20%","$17.91","$8.95","$8.95","5.04","1.14%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"63","129","8 (6.20%)","2","1","0","25%","$16.28","$8.14","$9.08","5.12","1.55%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"57","69","8 (11.59%)","2","1","0","25%","$17.91","$8.95","$8.96","5.26","2.89%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"83","41","6 (14.63%)","2","1","1","33.33%","$16.28","$8.14","$8.94","3.00","4.87%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"75","135","6 (4.44%)","4","3","0","66.66%","$35.17","$8.79","$8.96","3.62","2.96%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"59","95","5 (5.26%)","1","0","0","20%","$9.77","$9.77","$9.17","5.42","1.05%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"91","13","5 (38.46%)","1","1","0","20%","$9.77","$9.77","$8.26","2.92","7.69%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"86","21","5 (23.81%)","1","0","0","20%","$6.51","$6.51","$8.76","3.61","4.76%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"84","29","4 (13.79%)","0","0","0","0%","$0.00","$0.00","$9.16","3.44","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"85","48","4 (8.33%)","1","0","0","25%","$6.51","$6.51","$8.94","3.43","2.08%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"60","98","4 (4.08%)","1","1","0","25%","$9.77","$9.77","$8.99","4.89","1.02%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"87","27","3 (11.11%)","2","1","0","66.66%","$16.28","$8.14","$9.17","2.66","7.4%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"55","82","3 (3.66%)","1","1","0","33.33%","$9.77","$9.77","$9.11","5.52","1.21%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"48","49","3 (6.12%)","0","0","0","0%","$0.00","$0.00","$9.18","5.14","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"90","12","3 (25.00%)","2","2","0","66.66%","$13.02","$6.51","$8.11","2.91","16.66%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"54","81","3 (3.70%)","0","0","0","0%","$0.00","$0.00","$9.00","5.09","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"50","40","2 (5.00%)","1","1","0","50%","$8.14","$8.14","$9.15","4.67","2.5%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"89","14","2 (14.29%)","0","0","0","0%","$0.00","$0.00","$8.44","4.07","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"56","69","2 (2.90%)","1","1","0","50%","$8.14","$8.14","$9.13","5.14","1.44%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"95","2","1 (50.00%)","0","0","0","0%","$0.00","$0.00","$6.51","5.00","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"49","33","1 (3.03%)","0","0","0","0%","$0.00","$0.00","$9.22","4.03","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"52","44","1 (2.27%)","0","0","0","0%","$0.00","$0.00","$9.12","5.47","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"42","19","1 (5.26%)","0","0","0","0%","$0.00","$0.00","$9.20","5.00","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"88","19","1 (5.26%)","0","0","0","0%","$0.00","$0.00","$8.98","4.00","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"92","8","1 (12.50%)","0","0","0","0%","$0.00","$0.00","$9.07","2.62","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"53","51","1 (1.96%)","0","0","0","0%","$0.00","$0.00","$9.15","5.39","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"32","7","1 (14.29%)","0","0","0","0%","$0.00","$0.00","$8.83","3.42","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"36","12","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.49","5.58","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"58","63","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.06","5.76","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"29","7","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.11","7.14","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"51","46","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.23","4.91","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"37","9","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.04","5.44","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"34","9","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.15","6.11","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"25","5","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.77","3.00","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"43","10","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.77","4.50","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"38","11","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.77","3.45","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"26","4","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$8.95","5.25","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"93","5","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.44","4.80","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
