"County","Searches","Impressions","CTR","Clicks","Calls","Leads","Contacted","Quote","Bound","Contacted CVR","Quote CVR","Bound CVR","Contacted CPA","Quote CPA","Bound CPA","Cost","Avg CPC","Avg Bid","Avg Pos","Win Rate","Bound Rev","Contacted Rev","Quote Rev"
"FULTON","549","60 (10.93%)","31.66%","19","0","16","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$170.31","$8.96","$9.14","4.09","3.46%","$0.00","$0.00","$0.00"
"DEKALB","533","53 (9.94%)","15.09%","8","0","6","2","1","1","25%","12.5%","12.5%","$30.93","$61.86","$61.86","$61.86","$7.73","$9.02","4.29","1.5%","$0.00","$0.00","$0.00"
"GWINNETT","425","39 (9.18%)","23.07%","9","1","6","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$79.13","$8.79","$8.97","4.42","2.11%","$0.00","$0.00","$0.00"
"CHATHAM","278","32 (11.51%)","15.62%","5","1","3","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$36.14","$7.22","$9.03","3.80","1.79%","$0.00","$0.00","$0.00"
"HENRY","257","31 (12.06%)","22.58%","7","1","3","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$55.35","$7.90","$9.02","4.24","2.72%","$0.00","$0.00","$0.00"
"WALTON","128","25 (19.53%)","20%","5","1","5","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$41.03","$8.20","$8.95","3.99","3.9%","$0.00","$0.00","$0.00"
"NEWTON","139","24 (17.27%)","20.83%","5","0","5","1","0","0","20%","0%","0%","$40.38","$0.00","$0.00","$40.38","$8.07","$9.09","4.42","3.59%","$0.00","$0.00","$0.00"
"CLAYTON","296","23 (7.77%)","21.73%","5","1","5","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$42.33","$8.46","$9.15","4.47","1.68%","$0.00","$0.00","$0.00"
"COBB","345","23 (6.67%)","8.69%","2","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$16.28","$8.14","$9.08","4.13","0.57%","$0.00","$0.00","$0.00"
"MUSCOGEE","217","20 (9.22%)","25%","5","1","4","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$45.59","$9.11","$8.96","4.15","2.3%","$0.00","$0.00","$0.00"
