"County","Searches","Impressions","Clicks","Leads","Calls","CTR","Cost","Avg CPC","Avg Bid","Avg Pos","Win Rate","Bound","Bound CVR","Bound CPA","Bound Rev","Contacted","Contacted CVR","Contacted CPA","Contacted Rev","Quote","Quote CVR","Quote CPA","Quote Rev"
"FULTON","298","26 (8.72%)","8","7","0","30.76%","$62.84","$7.85","$9.12","4.47","2.68%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"DEKALB","287","26 (9.06%)","3","2","0","11.53%","$22.79","$7.59","$9.00","4.59","1.04%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"GWINNETT","259","17 (6.56%)","3","1","0","17.64%","$26.05","$8.68","$8.99","4.67","1.15%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"NEWTON","97","14 (14.43%)","2","2","0","14.28%","$15.63","$7.81","$9.05","4.67","2.06%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"CHATHAM","158","14 (8.86%)","1","0","0","7.14%","$6.51","$6.51","$9.10","3.88","0.63%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"RICHMOND","140","13 (9.29%)","4","4","0","30.76%","$32.56","$8.14","$8.75","4.84","2.85%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"HENRY","155","13 (8.39%)","3","0","0","23.07%","$22.79","$7.59","$8.98","4.58","1.93%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"LIBERTY","47","11 (23.40%)","4","2","0","36.36%","$30.93","$7.73","$8.91","4.21","8.51%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"CARROLL","60","9 (15.00%)","2","1","0","22.22%","$16.28","$8.14","$8.96","3.65","3.33%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"WALKER","63","9 (14.29%)","3","3","1","33.33%","$25.40","$8.46","$8.74","4.87","4.76%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"CLAYTON","185","9 (4.86%)","1","1","0","11.11%","$6.51","$6.51","$9.17","4.57","0.54%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
