name,state,lead_type_id,impressions,clicks,avg_rpc,first_rpc,f_clicks,second_rpc,s_clicks,third_rpc,t_clicks,four_plus_rpc,fplus_clicks
Premium Referral,GA,1,4787,2142,12.7910,13.6239,1849,7.8285,195,6.9918,71,6.1800,27
Email,GA,1,1420,944,10.4340,10.7474,869,6.7787,72,4.5075,3,1.0000,0
Premium Paid Search 2,GA,1,1015,572,7.9562,8.1523,503,6.6577,56,5.6200,12,0.7900,1
Native/Display/Social,GA,1,32,490,14.5756,15.2467,435,9.7947,41,6.9663,10,5.0080,4
Internal SEO 2,GA,1,531,337,10.1452,10.2034,316,8.5410,19,8.9233,2,1.0000,0
Premium Email,GA,1,470,262,18.5985,19.8332,224,11.5688,33,6.4350,5,1.0000,0
Premium Paid Search 5C,GA,1,410,217,13.3069,13.6869,189,10.1444,24,9.9580,4,1.0000,0
Premium Email C,GA,1,528,191,10.1590,10.7622,145,7.9902,35,7.1820,9,7.9233,2
Native/Display/Social 2,GA,1,364,175,13.4035,13.9206,146,11.0403,27,2.1866,2,1.0000,0
Premium Paid Search 3,GA,1,270,173,7.3705,7.4713,161,5.7007,12,1.0000,0,1.0000,0
Premium Paid Search 5D,GA,1,318,164,80.0133,83.4290,151,41.2625,11,9.6166,2,1.0000,0
Premium Email B,GA,1,216,114,29.8135,32.0667,97,17.2992,13,9.3660,4,1.0000,0
Premium Paid Search 5,GA,1,182,96,32.8148,34.5049,84,19.3938,12,1.0000,0,1.0000,0
Premium Paid Search 5B,GA,1,115,68,36.7589,39.6189,55,23.7661,12,5.8750,1,1.0000,0
Internal SEO,GA,1,177,56,21.0659,26.5111,33,14.8225,11,10.3133,8,6.5380,4
Premium Paid Search 5D2,GA,1,96,51,59.5842,61.6041,45,38.0842,6,1.0000,0,1.0000,0
Premium Referral 3,GA,1,68,23,12.5787,13.6183,17,8.1760,4,3.7250,1,6.2150,1
Premium Paid Search 6,GA,1,120,22,8.1295,8.7973,18,3.7025,3,4.0100,1,1.0000,0
Premium Paid Search 7,GA,1,34,20,28.5819,30.1700,18,9.6633,2,1.0000,0,1.0000,0
Paid Search,GA,1,45,17,5.4438,5.6368,15,3.2666,2,1.0000,0,1.0000,0
Premium Paid Search 4,GA,1,24,10,26.2663,28.6033,8,11.1666,2,1.0000,0,1.0000,0
Tier 1,GA,1,6,4,5.4480,5.6480,4,1.0000,0,1.0000,0,1.0000,0
Premium Paid Search 2B,GA,1,8,4,8.2980,9.4325,3,2.8800,1,1.0000,0,1.0000,0
Benepath - Google Search,GA,1,90,2,14.0900,14.4233,2,1.0000,0,1.0000,0,1.0000,0
Premium Paid Search 5A,GA,1,10,2,27.0433,27.3766,2,1.0000,0,1.0000,0,1.0000,0
Premium Paid Search 4B,GA,1,4,1,8.1900,8.6900,1,1.0000,0,1.0000,0,1.0000,0
Tier 2,GA,1,1,1,3.2650,3.7650,1,1.0000,0,1.0000,0,1.0000,0
,GA,1,2,0,0.0000,1.0000,0,1.0000,0,1.0000,0,1.0000,0
Benepath - Social,GA,1,180,0,0.0000,1.0000,0,1.0000,0,1.0000,0,1.0000,0
Benepath - Paid Search,GA,1,20,0,0.0000,1.0000,0,1.0000,0,1.0000,0,1.0000,0
Tier 3,GA,1,1,0,0.0000,1.0000,0,1.0000,0,1.0000,0,1.0000,0
